3.141590000E+00	-5.233440000E-11	-1.228610000E-11	1.961270000E-10	2.653640000E-10
6.283190000E+00	-8.486590000E-11	-5.956690000E-11	-4.285290000E-11	1.770650000E-10
9.424780000E+00	-1.603610000E-11	-1.155350000E-10	-1.259460000E-10	1.016000000E-12
1.256640000E+01	9.802040000E-11	-7.208320000E-11	-1.987530000E-11	-9.020860000E-11
1.570800000E+01	1.037950000E-10	5.802370000E-11	6.871680000E-11	-1.443280000E-11
1.884960000E+01	-1.604310000E-11	1.044800000E-10	7.945510000E-12	6.477660000E-11
2.199110000E+01	-8.551640000E-11	1.119120000E-11	-6.808250000E-11	9.668030000E-12
2.513270000E+01	-2.000120000E-11	-6.203960000E-11	-2.052830000E-11	-6.821240000E-11
2.827430000E+01	4.553610000E-11	-1.669690000E-11	5.891360000E-11	-3.387350000E-11
3.141590000E+01	1.161450000E-11	3.874020000E-11	4.181560000E-11	4.136880000E-11
3.455750000E+01	-3.684920000E-11	1.186540000E-11	-2.193620000E-11	4.034700000E-11
3.769910000E+01	-1.789580000E-11	-3.283530000E-11	-3.153460000E-11	-7.417670000E-12
4.084070000E+01	2.282890000E-11	-2.494330000E-11	5.036080000E-13	-2.115990000E-11
4.398230000E+01	2.747090000E-11	8.292100000E-12	1.445240000E-11	-9.044780000E-13
4.712390000E+01	5.746940000E-12	2.328440000E-11	1.691240000E-12	1.305170000E-11
5.026550000E+01	-1.466520000E-11	1.464620000E-11	-1.423760000E-11	5.651070000E-12
5.340710000E+01	-1.720570000E-11	-6.211050000E-12	-1.287690000E-11	-1.390860000E-11
5.654870000E+01	1.421800000E-12	-1.590620000E-11	9.443210000E-12	-2.054480000E-11
5.969030000E+01	1.458680000E-11	5.359500000E-13	2.474360000E-11	1.409320000E-12
6.283190000E+01	-9.646190000E-13	1.554220000E-11	6.812800000E-12	2.378200000E-11
6.597340000E+01	-1.813700000E-11	3.755530000E-13	-1.894790000E-11	1.221650000E-11
6.911500000E+01	-4.645500000E-12	-1.968870000E-11	-1.351760000E-11	-1.309860000E-11
7.225660000E+01	1.782360000E-11	-1.035650000E-11	9.128860000E-12	-1.217220000E-11
7.539820000E+01	1.473090000E-11	1.231620000E-11	1.093720000E-11	7.286750000E-12
7.853980000E+01	-5.176140000E-12	1.579480000E-11	-6.146680000E-12	1.120290000E-11
8.168140000E+01	-1.375750000E-11	8.345660000E-13	-1.296980000E-11	-3.775340000E-12
8.482300000E+01	-4.199160000E-12	-1.068040000E-11	-8.820950000E-13	-1.416050000E-11
8.796460000E+01	8.740210000E-12	-5.491520000E-12	1.305270000E-11	-6.315950000E-12
9.110620000E+01	6.585750000E-12	8.657330000E-12	1.075450000E-11	9.678420000E-12
9.424780000E+01	-9.309740000E-12	9.038310000E-12	-5.118850000E-12	1.255100000E-11
9.738940000E+01	-1.278150000E-11	-8.758560000E-12	-1.177890000E-11	-1.855000000E-12
1.005310000E+02	5.881590000E-12	-1.617230000E-11	6.388490000E-13	-1.048540000E-11
1.036730000E+02	1.727160000E-11	1.297160000E-12	9.939650000E-12	8.138680000E-13
1.068140000E+02	3.066880000E-12	1.534560000E-11	-8.926750000E-13	1.111220000E-11
1.099560000E+02	-1.140120000E-11	5.417380000E-12	-1.270570000E-11	1.155080000E-12
1.130970000E+02	-5.314220000E-12	-7.417680000E-12	-4.778890000E-12	-1.265390000E-11
1.162390000E+02	5.003100000E-12	-3.910110000E-12	1.023490000E-11	-8.821790000E-12
1.193810000E+02	3.067560000E-12	4.269200000E-12	1.128960000E-11	5.191310000E-12
1.225220000E+02	-3.905020000E-12	3.872840000E-12	1.579020000E-13	1.070950000E-11
1.256640000E+02	-5.922840000E-12	-2.362250000E-12	-8.297960000E-12	4.058180000E-12
1.288050000E+02	-9.885890000E-13	-7.720120000E-12	-5.862530000E-12	-5.068040000E-12
1.319470000E+02	7.767240000E-12	-5.343060000E-12	3.082660000E-12	-5.583930000E-12
1.350880000E+02	9.029240000E-12	5.708710000E-12	5.520560000E-12	2.839430000E-12
1.382300000E+02	-2.524380000E-12	1.073230000E-11	-2.986930000E-12	6.215740000E-12
1.413720000E+02	-1.034230000E-11	2.427400000E-13	-7.919600000E-12	-2.955000000E-12
1.445130000E+02	-1.602780000E-12	-8.914000000E-12	1.108000000E-12	-9.878280000E-12
1.476550000E+02	7.768390000E-12	-1.748570000E-12	1.007230000E-11	-1.711340000E-12
1.507960000E+02	1.751520000E-12	7.522890000E-12	4.260590000E-12	8.952120000E-12
1.539380000E+02	-7.689040000E-12	2.675120000E-12	-6.384640000E-12	6.057050000E-12
1.570800000E+02	-4.660680000E-12	-7.144550000E-12	-5.910230000E-12	-3.805390000E-12
1.602210000E+02	5.157160000E-12	-6.850900000E-12	2.468800000E-12	-5.511500000E-12
1.633630000E+02	8.088630000E-12	1.938800000E-12	5.338070000E-12	1.388880000E-12
1.665040000E+02	1.434180000E-12	7.717200000E-12	-8.192830000E-13	5.747580000E-12
1.696460000E+02	-6.145810000E-12	3.746440000E-12	-7.015970000E-12	9.150980000E-13
1.727880000E+02	-4.594630000E-12	-4.493380000E-12	-3.654030000E-12	-6.977890000E-12
1.759290000E+02	3.669490000E-12	-4.543470000E-12	5.974160000E-12	-6.068370000E-12
1.790710000E+02	4.611740000E-12	3.773430000E-12	8.072840000E-12	3.579580000E-12
1.822120000E+02	-4.027010000E-12	5.479700000E-12	-6.376270000E-13	7.773730000E-12
1.853540000E+02	-6.908960000E-12	-3.410490000E-12	-6.451400000E-12	8.012530000E-13
